真实值,预测值
1.4481618637126907,0.46491759567957786
1.2330308485785202,0.8235056795203206
0.8132365989400009,0.2068935720572504
0.6945013100187531,1.0924647564163545
0.5352399450671557,0.45575337471517174
0.6217989270712033,1.1260996527079228
0.5259730988024571,1.4714861926004168
0.3550495694069966,1.602794172565994
0.37639999890186515,1.5268492668326108
0.475701986278387,1.643479645339351
0.6013000692170587,1.703655191100149
0.8825217777395175,1.7666540243775009
0.6617289029530462,1.2733036366336803
1.0274745556099252,1.1816352247852888
0.6698428522272262,0.8716631475617733
0.6496344021377387,0.6029901113963416
1.1431638382778142,0.6636634990394089
0.8733029688494238,0.24374260541329468
0.6770331737987748,0.13935520687973166
0.7562511715563766,0.27155406179252767
0.48812401464781907,0.19458945360730315
0.6848632658593801,0.2994441247847506
0.7704898860926863,0.4481787541467836
1.0300052518447944,0.659975538779966
0.588980666147919,0.8625556980400821
1.0718938425003026,0.9945405682841835
0.8596057665359333,1.0251098066691455
0.6303037258933052,1.0508381878041462
0.522841935385026,0.9899813847307691
0.5673900497800257,0.9618336667293015
0.7497770435698471,0.9484094040442482
1.057445510329353,0.9182222811390981
1.0550589262182983,0.9440532875743911
0.9535384855418393,0.9137657228859761
0.8940136278552356,0.9019681803864082
0.7309922465822879,0.8341284898590949
0.6865161882491955,0.8305169526956144
0.45629051990393604,0.8460308411759827
0.5880766900985351,0.8423144951951823
0.5224095990135815,0.9064553078779152
0.9811512418715701,0.9717686692044142
1.0203191703108165,1.001527822772175
0.8983959465294227,1.0072158846288053
0.6416776660895386,1.0018487997752168
0.5551208676025184,0.9741596203495237
0.5254730734031603,1.0048773378923557
0.6176436941678759,0.9543966077336458
0.27537958362470294,0.9583684252066633
0.4159413087528136,0.9965843402219209
0.5734580435994407,1.0628540820064638
0.37635632856131523,0.9692074037311599
0.4526658816382906,1.014626741420131
0.4760906523092815,0.9092851459455517
0.44270686047587543,0.8833471471759113
0.47252715252040595,0.8103718245999244
0.5045375121435163,0.8328882521874764
0.41951790964385416,0.6775790530556491
0.4597230086711618,0.651062422273722
0.40938420711923923,0.6472237993393818
0.41040827660513546,0.614789837412937
0.2594682950453302,0.5216453680539576
0.23869431404572095,0.5375348214630553
0.18434657523131337,0.4436021024571493
0.09303626017543161,0.35356914486235347
0.3182420228744748,0.4241775349805334
0.3336139827480557,0.6085165929929373
0.31940583745013085,0.7170635914638827
0.37511172385564173,0.551404521621718
0.2829651217782285,0.4340972528364536
0.17499893883659745,0.36333383300932137
0.3204757607936045,0.22592728998594427
0.12138922877748395,0.1734268065767994
0.053287516206870916,0.285838630186415
0.14065003247703756,0.13654283694831515
0.13146834337641145,0.28562682903474773
0.1786847155790129,0.19187752545915152
0.2541383299812093,0.2960422052559098
0.2518871239258596,0.18033327093477333
0.15205017487760092,0.28707886785803344
0.27014350979276447,0.32289728117709904
0.13096395094305957,0.41781913339646126
0.11439760725543761,0.16540238150074685
0.3758475690939083,0.35024801546353007
0.3500121956245604,0.2502822389106491
0.15783649500046873,0.13781364385831857
0.24214863798322167,0.10693434605545188
0.32536902245222593,0.08610796064718271
0.4480040727845838,0.06474006301609421
0.4731014174986377,0.07076875352901424
0.46937633744972734,0.07911197209108138
0.16329528756921197,0.16160742890695656
0.17663439309019294,0.18749957381901944
0.3163139773391947,0.10381191670613076
0.24307008216882553,0.20966227164811696
0.2429281535620382,0.13659960839103008
0.24243249519679633,0.219699899423522
0.19694765199700023,0.25552923032772507
0.26860849732243386,0.26395105550278214
0.33535424581897105,0.2833996416667005
0.539794761586515,0.3504488990300598
0.8145226904691968,0.290677303919349
0.7052944346856722,0.34271051468460945
-0.22417417599423745,0.28560717738150027
-0.16006393254988946,0.31593186185938266
-0.16643543523612656,0.25109232372785056
0.13241817328337277,0.3213731862919059
0.41720338159470705,0.19727954658517982
0.10584477105873073,0.3509685760826042
0.05616539164911234,0.4603016406834486
0.41374469062315133,0.20523846615040744
-0.02489112744564212,0.17382420667580392
0.10204981846494043,-0.11401574195699908
0.05282897763109649,-0.22480739593221166
0.5060747081308743,-0.15695678781976083
0.7188628094945404,-0.4479278998699949
-0.055859949446636206,-0.39824633694334904
0.22089646675459051,-0.4048995133261333
0.04905149317352617,-0.559573309002959
-0.24916889540799894,-0.3205000296622805
0.5834039636596909,0.0255655840257653
-0.04936835332388676,-0.5153330705088364
-0.334596815591803,-0.13546006268404998
-0.24971040763081828,0.27433149545150426
-0.14084243215683082,0.3979578625143459
-0.04269989232191003,0.11053714915082241
0.28143884337600794,0.03296989026600861
-0.6571939882683079,0.01609785419453704
0.5255604140842601,0.4299332858650163
-1.5818632285217784,-0.3738542682291768
-0.46114036140338105,-0.09096653621473766
-1.4088697249842506,-0.4098146101550297
-1.9621467375477344,-0.41148063364701015
-1.3422025831007032,-0.3127223420103351
-2.4922806531367745,-0.6230961863669101
-2.6067624508884575,-0.4483318505200819
-2.669639007212269,-1.3466438567346328
-1.6859034478479695,-0.29439171656449536
-1.8078310386634182,-1.608021762511196
-2.4401753863096065,-2.316005323506918
-1.9865781095684014,-2.4060186294484662
-2.6896312891160346,-3.1472549712559443
-1.6937117047382997,-1.7547519232419866
-4.047425150460896,-3.5726019046953894
-3.218586105510226,-3.3781859156010854
-4.326406570513142,-3.994662645008451
-2.9775476608447997,-2.911677502676289
-1.6615812516786772,-1.6016742785122615
-0.052228760629908215,-0.9593206888120256
0.08112299127340639,-1.420630147694351
-4.6498291126260405,-3.8957667917990437
-5.504813590463963,-3.22525675002923
-9.459102880543302,-5.065856795392127
-7.543264297205417,-4.326655491454277
-6.099308853955513,-3.7099211070376663
-6.814670518987148,-3.9819523923913893
-4.868776915524276,-2.9400086361080664
-2.6746763809947054,-1.6113385248759644
-1.9711100749456107,-1.4176955008093945
-10.909924393086172,-6.437393712908056
-8.706712042000854,-6.829527168842239
-12.027118696688133,-8.130391282487677
-6.578424894197079,-5.443164170709604
-10.205128766950596,-7.9913481934521915
-8.774085551642797,-7.702123895023955
-6.6478651027055475,-8.080553598093566
-7.753579565535443,-6.910555302215637
-10.542895924175637,-8.762613353180326
-10.270473789273993,-11.561064455305056
-9.756605983781295,-9.739010111815208
-8.280522270988795,-8.644870472748076
-8.01781897037654,-7.1366803255832565
-5.353744781399535,-3.417600581464439
-8.960933470719795,-10.402233757264263
-12.017033031538123,-10.35748366754422
-9.3789874572874,-9.313825850394311
-4.222910046926798,-5.252588988066668
-10.213720906453798,-11.254506306954033
-9.670490255733828,-10.019228494263531
-10.408922961678,-8.495168545342862
-9.863413810939837,-8.341169456427533
-9.400324785680102,-7.5734492365935395
-12.046305260808753,-10.140980311958266
2.894702591123152,0.9920076885322866
1.6809225953268747,-0.10594764654039658
-6.1355792552992705,-7.989999871687711
-9.902308799750648,-9.877981144788786
-10.052518394864755,-9.326549204113538
-3.1914275207222147,-5.4119813640399155
-4.425811183189956,-5.926142852572813
-7.771137225953548,-8.536057085199776
-7.010117128118431,-7.932893259109061
-7.006245752428678,-7.353424959800748
-4.036121082809542,-3.6578595105510487
0.9737382015632168,-0.712316875627477
-4.309899181785262,-4.86998658395751
-6.7677751237875885,-6.673936296013865
-2.459870709897632,-4.163197406775829
