真实值,预测值
4.0072479035418915,3.4823833482794515
3.960125926773144,3.3899571162795485
4.675775646125183,3.4949178414893267
5.4456681620000005,4.092380683016037
3.521584527286625,4.055014150327997
3.772138993231793,4.008074961199902
3.9856405991068287,4.207149883288687
2.827281470733904,4.262984737595166
3.4863144108722324,4.107196636777751
3.5168173804856777,4.202413201094515
3.5638581183030245,4.343038954287994
2.949508858072651,4.042431139411035
3.920093176832882,3.9684111714972516
3.3872999255774823,3.8477386074228135
2.8699251503066847,3.4415765716633437
2.2630679267054923,3.3731192152829723
2.316401298300089,3.2281302534080107
2.077623095351723,3.175688253641283
2.5191003802763636,3.067691222622902
1.988567151516182,3.0311032298857863
2.7910500267279357,2.859963223891167
2.2182793131519776,2.741322761920517
2.5769729782804776,2.587829661480173
2.3590946238987254,2.519372305099802
1.713111818647913,2.4395595486236363
2.4662961901846407,2.3084748589446678
1.431119006829422,2.3256738219474697
1.3132548281721572,2.233133629751852
1.427512900042244,2.1187063100663472
1.4984706108157273,1.9920536565137978
1.5108471393978786,1.9068159433940925
1.5865595854658452,1.9394187142374935
1.3319443002694091,1.9700875467100487
1.8306115503426437,2.011175274699751
1.6357700802768536,1.9228820743523618
1.0813616263550052,1.8584742540355645
1.5022425804620152,1.5968893438002052
1.5354636699910775,1.5736786983937474
1.4900262731451264,1.6197095909124317
1.3148705806500167,1.5959833038283329
1.5491264819704076,1.5570551779633675
1.4536819972622128,1.5275372306356563
1.6733385820246258,1.501998863607813
1.5841021071859722,1.5155883348671284
1.5534659959577313,1.500644881084467
1.5326936474120656,1.524892451440054
1.531978293312231,1.5467355744979325
1.5312493993871632,1.5498847121834813
1.5447249104507637,1.5485860172798387
1.5517204868213845,1.5387719006231193
1.5675383876503735,1.5500336502610492
1.5951178833321609,1.5439091359804478
1.4566178827003347,1.5849641427258359
1.5385981395326234,1.5565203548666458
1.4190290712147122,1.5556978104837131
1.1625419051797505,1.5372994446289807
1.2071590142803077,1.5035277355404244
1.2920085857433206,1.45225918729393
1.2373697493324642,1.4149445572692851
1.6080596996178094,1.4391977692187194
1.7247414002046852,1.4274993602170105
1.576753367040512,1.4771544126231841
1.4932611630571537,1.4533762228756906
